id	dosya:satir	iddia	sinif	basan_alet	zaman
C3	web//styles/princess-seams.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/princess-seams.html:113	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/puff-sleeve.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/puff-sleeve.html:112	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/shirring-drawstring.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/shirring-drawstring.html:113	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/v-neck.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/v-neck.html:111	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/half-circle-skirt.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/half-circle-skirt.html:111	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/button-placket.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/button-placket.html:113	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/straight-skirt.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/straight-skirt.html:111	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/gathered-skirt.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/gathered-skirt.html:110	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/square-neckline.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/square-neckline.html:109	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/balloon-sleeve.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/balloon-sleeve.html:111	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/crew-neckline.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/crew-neckline.html:109	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/empire-waist.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/empire-waist.html:112	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/boat-neckline.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/boat-neckline.html:109	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/a-line-skirt.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/a-line-skirt.html:113	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/sweetheart-neckline.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/sweetheart-neckline.html:111	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/open-back.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/open-back.html:113	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/hem-ruffle.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/hem-ruffle.html:112	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/scoop-neckline.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/scoop-neckline.html:109	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/collars.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/collars.html:112	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/fabric-ties.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/fabric-ties.html:112	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/keyhole.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/keyhole.html:111	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//shop-shift-dress.html:9	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//patches.html:249	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//patches.html:249	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//patches.html:424	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//patches.html:424	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-front-button-pinafore.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-front-button-pinafore.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-front-button-pinafore.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-mod-colorblock-mini.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-mod-colorblock-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-mod-colorblock-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-boat-neck-shift-mini.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-boat-neck-shift-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-boat-neck-shift-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-mondrian-shift-mini.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-mondrian-shift-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-mondrian-shift-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-vneck-front-zip-dress.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-vneck-front-zip-dress.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-vneck-front-zip-dress.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-princess-seam-shift.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-princess-seam-shift.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-princess-seam-shift.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-side-tie-tweed-shift.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-side-tie-tweed-shift.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-side-tie-tweed-shift.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-babydoll-scoop-mini.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-babydoll-scoop-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-babydoll-scoop-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/seventies-scoop-neck-shift-mini.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/seventies-scoop-neck-shift-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/seventies-scoop-neck-shift-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-pointed-collar-tunic.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-pointed-collar-tunic.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-pointed-collar-tunic.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-fit-flare-knit-dress.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-fit-flare-knit-dress.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-fit-flare-knit-dress.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-empire-gathered-babydoll.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-empire-gathered-babydoll.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-empire-gathered-babydoll.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-boat-neck-longsleeve-mini.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-boat-neck-longsleeve-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-boat-neck-longsleeve-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-crew-neck-tent-mini.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-crew-neck-tent-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-crew-neck-tent-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-crew-neck-jersey-mini.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-crew-neck-jersey-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-crew-neck-jersey-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-empire-knit-mini.html:22	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-empire-knit-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//collections/sixties-empire-knit-mini.html:114	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C4	web//collections/sixties-front-button-pinafore.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-front-button-pinafore.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-front-button-pinafore.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-mod-colorblock-mini.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-mod-colorblock-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-mod-colorblock-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-boat-neck-shift-mini.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-boat-neck-shift-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-boat-neck-shift-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-mondrian-shift-mini.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-mondrian-shift-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-mondrian-shift-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-vneck-front-zip-dress.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-vneck-front-zip-dress.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-vneck-front-zip-dress.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-princess-seam-shift.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-princess-seam-shift.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-princess-seam-shift.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-side-tie-tweed-shift.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-side-tie-tweed-shift.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-side-tie-tweed-shift.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-babydoll-scoop-mini.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-babydoll-scoop-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-babydoll-scoop-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/seventies-scoop-neck-shift-mini.html:22	your exact measurements	YALAN	same	present
C4	web//collections/seventies-scoop-neck-shift-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/seventies-scoop-neck-shift-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-pointed-collar-tunic.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-pointed-collar-tunic.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-pointed-collar-tunic.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-fit-flare-knit-dress.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-fit-flare-knit-dress.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-fit-flare-knit-dress.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-empire-gathered-babydoll.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-empire-gathered-babydoll.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-empire-gathered-babydoll.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-boat-neck-longsleeve-mini.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-boat-neck-longsleeve-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-boat-neck-longsleeve-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-crew-neck-tent-mini.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-crew-neck-tent-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-crew-neck-tent-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-crew-neck-jersey-mini.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-crew-neck-jersey-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-crew-neck-jersey-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-empire-knit-mini.html:22	your exact measurements	YALAN	same	present
C4	web//collections/sixties-empire-knit-mini.html:118	your exact measurements	YALAN	same	present
C4	web//collections/sixties-empire-knit-mini.html:118	your exact measurements	YALAN	same	present
C5	web//styles/halter-neckline.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/halter-neckline.html:113	no fixed sizes	YALAN	same	present
C5	web//styles/pleated-skirt.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/pleated-skirt.html:110	no fixed sizes	YALAN	same	present
C5	web//styles/princess-seams.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/princess-seams.html:113	no fixed sizes	YALAN	same	present
C5	web//styles/puff-sleeve.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/puff-sleeve.html:112	no fixed sizes	YALAN	same	present
C5	web//styles/shirring-drawstring.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/shirring-drawstring.html:113	no fixed sizes	YALAN	same	present
C5	web//styles/v-neck.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/v-neck.html:111	no fixed sizes	YALAN	same	present
C5	web//styles/half-circle-skirt.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/half-circle-skirt.html:111	no fixed sizes	YALAN	same	present
C5	web//styles/button-placket.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/button-placket.html:113	no fixed sizes	YALAN	same	present
C5	web//styles/straight-skirt.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/straight-skirt.html:111	no fixed sizes	YALAN	same	present
C5	web//styles/gathered-skirt.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/gathered-skirt.html:110	no fixed sizes	YALAN	same	present
C5	web//styles/square-neckline.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/square-neckline.html:109	no fixed sizes	YALAN	same	present
C5	web//styles/balloon-sleeve.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/balloon-sleeve.html:111	no fixed sizes	YALAN	same	present
C5	web//styles/crew-neckline.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/crew-neckline.html:109	no fixed sizes	YALAN	same	present
C5	web//styles/empire-waist.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/empire-waist.html:112	no fixed sizes	YALAN	same	present
C5	web//styles/boat-neckline.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/boat-neckline.html:109	no fixed sizes	YALAN	same	present
C5	web//styles/a-line-skirt.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/a-line-skirt.html:113	no fixed sizes	YALAN	same	present
C5	web//styles/sweetheart-neckline.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/sweetheart-neckline.html:111	no fixed sizes	YALAN	same	present
C5	web//styles/open-back.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/open-back.html:113	no fixed sizes	YALAN	same	present
C5	web//styles/hem-ruffle.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/hem-ruffle.html:112	no fixed sizes	YALAN	same	present
C5	web//styles/scoop-neckline.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/scoop-neckline.html:109	no fixed sizes	YALAN	same	present
C5	web//styles/collars.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/collars.html:112	no fixed sizes	YALAN	same	present
C5	web//styles/fabric-ties.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/fabric-ties.html:112	no fixed sizes	YALAN	same	present
C5	web//styles/keyhole.html:26	no fixed sizes	YALAN	same	present
C5	web//styles/keyhole.html:111	no fixed sizes	YALAN	same	present
C6	web//js/i18n.js:19	to your measurements	YALAN	same	present
C6	web//js/print.js:53	to your measurements	YALAN	same	present
C6	web//styles/index.html:8	to your measurements	YALAN	same	present
C6	web//styles/index.html:13	to your measurements	YALAN	same	present
C6	web//styles/index.html:21	to your measurements	YALAN	same	present
C6	web//styles/index.html:130	to your measurements	YALAN	same	present
C6	web//styles/v-neck.html:7	to your measurements	YALAN	same	present
C6	web//styles/v-neck.html:12	to your measurements	YALAN	same	present
C6	web//styles/v-neck.html:20	to your measurements	YALAN	same	present
C6	web//styles/square-neckline.html:7	to your measurements	YALAN	same	present
C6	web//styles/square-neckline.html:12	to your measurements	YALAN	same	present
C6	web//styles/square-neckline.html:20	to your measurements	YALAN	same	present
C6	web//shop-shift-dress.html:87	to your measurements	YALAN	same	present
C6	web//collections/sixties-front-button-pinafore.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-front-button-pinafore.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-front-button-pinafore.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-front-button-pinafore.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-mod-colorblock-mini.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-mod-colorblock-mini.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-mod-colorblock-mini.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-mod-colorblock-mini.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-boat-neck-shift-mini.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-boat-neck-shift-mini.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-boat-neck-shift-mini.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-boat-neck-shift-mini.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-mondrian-shift-mini.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-mondrian-shift-mini.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-mondrian-shift-mini.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-mondrian-shift-mini.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-vneck-front-zip-dress.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-vneck-front-zip-dress.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-vneck-front-zip-dress.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-vneck-front-zip-dress.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-princess-seam-shift.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-princess-seam-shift.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-princess-seam-shift.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-princess-seam-shift.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-side-tie-tweed-shift.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-side-tie-tweed-shift.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-side-tie-tweed-shift.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-side-tie-tweed-shift.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-babydoll-scoop-mini.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-babydoll-scoop-mini.html:95	to your measurements	YALAN	same	present
C6	web//collections/sixties-babydoll-scoop-mini.html:136	to your measurements	YALAN	same	present
C6	web//collections/sixties-babydoll-scoop-mini.html:136	to your measurements	YALAN	same	present
C6	web//collections/seventies-scoop-neck-shift-mini.html:95	to your measurements	YALAN	same	present
C6	web//collections/seventies-scoop-neck-shift-mini.html:95	to your measurements	YALAN	same	present
C6	web//collections/seventies-scoop-neck-shift-mini.html:136	to your measurements	YALAN	same	present
